athlets_code,name,name_short,name_tv,gender,country_code,country_long,disciplines,events
1911391,YEGRES COTTIN Maria Victoria,YEGRES COTTIN MV,Maria Victoria YEGRES COTTIN,Female,VEN,Venezuela,['Swimming'],"[""Women's 200m Freestyle""]"
1911399,MOZZATO Luca,MOZZATO L,Luca MOZZATO,Male,ITA,Italy,['Cycling Road'],"[""Men's Road Race""]"
1911407,RICHARDS Jereem,RICHARDS J,Jereem RICHARDS,Male,TTO,Trinidad and Tobago,['Athletics'],"[""Men's 400m"", ""Men's 4 x 400m Relay""]"
1911428,SILOT TORRES Arturo,SILOT TORRES A,Arturo SILOT TORRES,Male,CUB,Cuba,['Wrestling'],"[""Men's Freestyle 97kg""]"
1911467,BARANKOVA Denisa,BARANKOVA D,Denisa BARANKOVA,Female,SVK,Slovakia,['Archery'],"[""Women's Individual""]"
1911478,GRIGAR Jakub,GRIGAR J,Jakub GRIGAR,Male,SVK,Slovakia,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]"
1911503,KUBIN Robert,KUBIN R,Robert KUBIN,Male,SVK,Slovakia,['Sailing'],"[""Men's Windsurfing""]"
1911504,BARTEKOVA Danka,BARTEKOVA D,Danka BARTEKOVA,Female,SVK,Slovakia,['Shooting'],['Skeet Women']
1911512,TUZINSKY Juraj,TUZINSKY J,Juraj TUZINSKY,Male,SVK,Slovakia,['Shooting'],['10m Air Pistol Men']
1911514,TURY Richard,TURY R,Richard TURY,Male,SVK,Slovakia,['Skateboarding'],"[""Men's Street""]"
1911515,DUSA Matej,DUSA M,Matej DUSA,Male,SVK,Slovakia,['Swimming'],"[""Men's 50m Freestyle""]"
1911520,POTOCKA Tamara,POTOCKA T,Tamara POTOCKA,Female,SVK,Slovakia,['Swimming'],"[""Women's 200m Individual Medley""]"
1911527,SCHMIEDLOVA Anna Karolina,SCHMIEDLOVA AK,Anna Karolina SCHMIEDLOVA,Female,SVK,Slovakia,['Tennis'],"[""Women's Singles""]"
1911532,SALKAZANOV Tajmuraz Mairbekovic,SALKAZANOV TM,Tajmuraz Mairbekovic SALKAZANOV,Male,SVK,Slovakia,['Wrestling'],"[""Men's Freestyle 74kg""]"
1911550,LEVAI Zoltan,LEVAI Z,Zoltan LEVAI,Male,HUN,Hungary,['Wrestling'],"[""Men's Greco-Roman 77kg""]"
1911553,LIGETI Daniel,LIGETI D,Daniel LIGETI,Male,HUN,Hungary,['Wrestling'],"[""Men's Freestyle 125kg""]"
1911555,LOSONCZI David,LOSONCZI D,David LOSONCZI,Male,HUN,Hungary,['Wrestling'],"[""Men's Greco-Roman 87kg""]"
1911652,WALCOTT Keshorn,WALCOTT K,Keshorn WALCOTT,Male,TTO,Trinidad and Tobago,['Athletics'],"[""Men's Javelin Throw""]"
1911794,WARREN Portious,WARREN P,Portious WARREN,Female,TTO,Trinidad and Tobago,['Athletics'],"[""Women's Shot Put""]"
1911800,ZHOYA Sasha,ZHOYA S,Sasha ZHOYA,Male,FRA,France,['Athletics'],"[""Men's 110m Hurdles""]"
1911807,LAZRAQ-KHLASS Auriana,LAZRAQ-KHLASS A,Auriana LAZRAQ-KHLASS,Female,FRA,France,['Athletics'],"[""Women's Heptathlon""]"
1911809,le CLEZIO Corentin,le CLEZIO C,Corentin le CLEZIO,Male,FRA,France,['Athletics'],"[""Men's 800m""]"
1911825,LOGA Rose,LOGA R,Rose LOGA,Female,FRA,France,['Athletics'],"[""Women's Hammer Throw""]"
1911829,MADELEINE Sarah,MADELEINE S,Sarah MADELEINE,Female,FRA,France,['Athletics'],"[""Women's 5000m""]"
1911839,MARAVAL Louise,MARAVAL L,Louise MARAVAL,Female,FRA,France,['Athletics'],"[""Women's 400m Hurdles"", ""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']"
1911843,MATEO Pablo,MATEO P,Pablo MATEO,Male,FRA,France,['Athletics'],"[""Men's 200m"", ""Men's 4 x 100m Relay""]"
1911848,MENIKER Nawal,MENIKER N,Nawal MENIKER,Female,FRA,France,['Athletics'],"[""Women's High Jump""]"
1911852,MIELLET Alexis,MIELLET A,Alexis MIELLET,Male,FRA,France,['Athletics'],"[""Men's 3000m Steeplechase""]"
1911855,MOHAMED Raphael,MOHAMED R,Raphael MOHAMED,Male,FRA,France,['Athletics'],"[""Men's 110m Hurdles""]"
1911865,MOUTARD Camille,MOUTARD C,Camille MOUTARD,Female,FRA,France,['Athletics'],"[""Women's 20km Race Walk""]"
1911868,NAVARRO Nicolas,NAVARRO N,Nicolas NAVARRO,Male,FRA,France,['Athletics'],"[""Men's Marathon""]"
1911877,OLIERE Orlann,OLIERE O,Orlann OLIERE,Female,FRA,France,['Athletics'],"[""Women's 4 x 100m Relay""]"
1911883,PARE Maroussia,PARE M,Maroussia PARE,Female,FRA,France,['Athletics'],"[""Women's 4 x 100m Relay""]"
1911884,PARISOT Helene,PARISOT H,Helene PARISOT,Female,FRA,France,['Athletics'],"[""Women's 200m"", ""Women's 4 x 100m Relay""]"
1911894,PONTVIANNE Jean-Marc,PONTVIANNE JM,Jean-Marc PONTVIANNE,Male,FRA,France,['Athletics'],"[""Men's Triple Jump""]"
1911897,PREVOT Loic,PREVOT L,Loic PREVOT,Male,FRA,France,['Athletics'],"[""Men's 4 x 400m Relay""]"
1911898,PRIAM Aymeric,PRIAM A,Aymeric PRIAM,Male,FRA,France,['Athletics'],"[""Men's 4 x 100m Relay""]"
1911900,QUINION Aurelien,QUINION A,Aurelien QUINION,Male,FRA,France,['Athletics'],"[""Men's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']"
1911913,RENOUARD Flavie,RENOUARD F,Flavie RENOUARD,Female,FRA,France,['Athletics'],"[""Women's 3000m Steeplechase""]"
1911914,REUX Tom,REUX T,Tom REUX,Male,FRA,France,['Athletics'],"[""Men's Discus Throw""]"
1911916,RICHARD Sarah,RICHARD S,Sarah RICHARD,Female,FRA,France,['Athletics'],"[""Women's 4 x 100m Relay""]"
1911919,RIMLINGER Marie-Ange,RIMLINGER MA,Marie-Ange RIMLINGER,Female,FRA,France,['Athletics'],"[""Women's 4 x 100m Relay""]"
1911920,ROBERT Benjamin,ROBERT B,Benjamin ROBERT,Male,FRA,France,['Athletics'],"[""Men's 800m""]"
1911921,ROBERT-MICHON Melina,ROBERT-MICHON M,Melina ROBERT-MICHON,Female,FRA,France,['Athletics'],"[""Women's Discus Throw""]"
1911923,ROLLIN Meline,ROLLIN M,Meline ROLLIN,Female,FRA,France,['Athletics'],"[""Women's Marathon""]"
1911929,SAIDY Fabrisio,SAIDY F,Fabrisio SAIDY,Male,FRA,France,['Athletics'],"[""Men's 4 x 400m Relay"", '4 x 400m Relay Mixed']"
1911932,SAMBA-MAYELA Cyrena,SAMBA-MAYELA C,Cyrena SAMBA-MAYELA,Female,FRA,France,['Athletics'],"[""Women's 100m Hurdles""]"
1911936,SCHRUB Yann,SCHRUB Y,Yann SCHRUB,Male,FRA,France,['Athletics'],"[""Men's 10,000m"", ""Men's 5000m""]"
1911945,SOMBE David,SOMBE D,David SOMBE,Male,FRA,France,['Athletics'],['4 x 400m Relay Mixed']
1911947,SPILLMANN Yann,SPILLMANN Y,Yann SPILLMANN,Male,FRA,France,['Athletics'],"[""Men's 4 x 400m Relay""]"
1911948,STEY Pauline,STEY P,Pauline STEY,Female,FRA,France,['Athletics'],"[""Women's 20km Race Walk""]"
1911949,SYLLA Sounkamba,SYLLA S,Sounkamba SYLLA,Female,FRA,France,['Athletics'],"[""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']"
1911954,TAVERNIER Alexandra,TAVERNIER A,Alexandra TAVERNIER,Female,FRA,France,['Athletics'],"[""Women's Hammer Throw""]"
1911966,TUAL Gabriel,TUAL G,Gabriel TUAL,Male,FRA,France,['Athletics'],"[""Men's 800m""]"
1911968,TUPAIA Teura'itera'i,TUPAIA T,Teura'itera'i TUPAIA,Male,FRA,France,['Athletics'],"[""Men's Javelin Throw""]"
1911975,VERMONT Dylan,VERMONT D,Dylan VERMONT,Male,FRA,France,['Athletics'],"[""Men's 4 x 100m Relay""]"
1911976,VEYSSIERE Marjorie,VEYSSIERE M,Marjorie VEYSSIERE,Female,FRA,France,['Athletics'],"[""Women's 4 x 400m Relay""]"
1911979,WOLDU Mekdes,WOLDU M,Mekdes WOLDU,Female,FRA,France,['Athletics'],"[""Women's Marathon""]"
1911985,ZARBO Alessia,ZARBO A,Alessia ZARBO,Female,FRA,France,['Athletics'],"[""Women's 10,000m""]"
1911988,ZEZE Meba Mickael,ZEZE MM,Meba Mickael ZEZE,Male,FRA,France,['Athletics'],"[""Men's 4 x 100m Relay""]"
1911990,ZEZE Ryan,ZEZE R,Ryan ZEZE,Male,FRA,France,['Athletics'],"[""Men's 200m"", ""Men's 4 x 100m Relay""]"
1911993,ECCLES Rosie,ECCLES R,Rosie ECCLES,Female,GBR,Great Britain,['Boxing'],"[""Women's 66kg""]"
1912007,ORIE Delicious,ORIE D,Delicious ORIE,Male,GBR,Great Britain,['Boxing'],"[""Men's +92kg""]"
1912009,RICHARDSON Lewis,RICHARDSON L,Lewis RICHARDSON,Male,GBR,Great Britain,['Boxing'],"[""Men's 71kg""]"
1912051,BOUTIER Celine,BOUTIER C,Celine BOUTIER,Female,FRA,France,['Golf'],"[""Women's Individual Stroke Play""]"
1912052,DELACOUR Perrine,DELACOUR P,Perrine DELACOUR,Female,FRA,France,['Golf'],"[""Women's Individual Stroke Play""]"
1912058,PEREZ Victor,PEREZ V,Victor PEREZ,Male,FRA,France,['Golf'],"[""Men's Individual Stroke Play""]"
1912059,PAVON Matthieu,PAVON M,Matthieu PAVON,Male,FRA,France,['Golf'],"[""Men's Individual Stroke Play""]"
1912080,WATKIN Deandre,WATKIN D,Deandre WATKIN,Male,JAM,Jamaica,['Athletics'],"[""Men's 400m""]"
1912116,WALKER Jelani,WALKER J,Jelani WALKER,Male,JAM,Jamaica,['Athletics'],"[""Men's 4 x 100m Relay""]"
1912223,CATROFE Santiago,CATROFE S,Santiago CATROFE,Male,URU,Uruguay,['Athletics'],"[""Men's 5000m""]"
1912250,FERNANDEZ Maria Pia,FERNANDEZ MP,Maria Pia FERNANDEZ,Female,URU,Uruguay,['Athletics'],"[""Women's 1500m""]"
1912256,LASA Emiliano,LASA E,Emiliano LASA,Male,URU,Uruguay,['Athletics'],"[""Men's Long Jump""]"
